"Внешний ID","категорія","назва укр","назва рос","ціна"
"316","Аксесуари для пивоварні","Сито для шишкового хмелю","Сито для шишкового хмелю","3375.0000"
"317","Аксесуари для самогоноваріння","Скляний діоптр 3''","Скляний діоптр 3''","1900.0000"
"201200","Хміль для пива","Хміль Cascade USA (Каскад) 50 г, α-6.5%","Хміль Cascade USA (Каскад) 50 г, α-6.5%","212.0000"
"72897","Вимірювальні прилади","Циліндр 100 мл пласт. для ареометра","Циліндр 100 мл пласт. для ареометра","405.0000"
"77377","Пивні КЕГи та комплектуючі","КЕГ КОРНЕЛІУС (CORNELIUS), 18 Л","КЕГ КОРНЕЛІУС (CORNELIUS), 18 Л","7740.0000"
"3223","Солод для пива","Солод BEST Melanoidin","Солод BEST Melanoidin","86.2000"
"200938","Солод для пива","Солод BEST Special X® 0.5 кг","Солод BEST Special X® 0.5 кг","56.3000"
"324","Солод для пива","Помол солоду","Помол солоду","5.0000"
"505978","Солод для віскі","Солод Шато Віскі Лайт (Whisky Light)","Солод Шато Віскі Лайт (Whisky Light)","199.0000"
"3261","Солод для пива","Солод BEST Smoked","Солод BEST Smoked","130.5000"
"3285","Перегінний куб","Испарительный куб 2017 - 25 л","Випарний куб 2017 - 25 л","1.0000"
"7-049","Аксесуари для самогоноваріння","Перфорований рівень джин-кошика","Перфорований рівень джин-кошика","270.0000"
"7-047","Аксесуари для самогоноваріння","Сферичний ковпак 3х1,5''","Сферичний ковпак 3х1,5''","1090.0000"
"C0423","Вимірювальні прилади","Термометр цифровий","Термометр цифровий 14 см","100.0000"
"200936","Аксесуари для самогоноваріння","Склянка вимірювання спиртуозності 2017","Склянка вимірювання спиртуозності 2017","2700.0000"
"47100","Охолодження і розлив для пива та напоїв","Система розливу для КЕГ CORNELIUS (КОРНЕЛІУС)","Система розливу для КЕГ CORNELIUS (КОРНЕЛІУС)","16274.0000"
"335","Перегінний куб","Перегінний куб «Доктор Губер» 13 л без кришки","Перегінний куб «Доктор Губер» 13 л без кришки","4500.0000"
"336","Аксесуари для пивоварні","Термочохол для сусловаркового котла 36л","Термочохол для сусловаркового котла 36л","980.0000"
"337","Аксесуари для самогоноваріння","Етикетка на пляшку","Етикетка на пляшку","175.0000"
"00652","ОБЛАДНАННЯ ТА МАТЕРІАЛИ","Вакуумний пакет PA/PE рифлений харчовий, ширина 100х300 мм","Вакуумний пакет PA/PE рифлений харчовий, ширина 100 мм","2.0000"
"200523","","","Этикетки самоклеящиеся (70 х 42,4 мм.) - 21 шт.","0.1000"
"340","Перегінний куб","Перегонный куб «Доктор Губер» 25 л, без крышки","Перегінний куб «Доктор Губер» 25 л без кришки","1.0000"
