sku,назва товару укр,назва категорії
68431404,Дубова щепа ФРАНЦУЗЬКИЙ ДУБ МІЛКА ФРАКЦІЯ СРЕДНІЙ ВИПАЛ (100 Г),Дубові чіпси
T1012,Екстракт дуба 200мл на 20л,Дубові чіпси
T1002,Екстракт дубу 100 мл на 10 л Bousinage Mix ,Дубові чіпси
T1001,Екстракт дубу 50 мл на 5 л Bousinage Mix ,Дубові чіпси
Т1011,Екстракт дубу 50 мл на 5 л Hot Rod ,Дубові чіпси
Sok-1,Екстрактор Сокслета 2 дюйма ,Аксесуари для самогоноваріння
sok-3,Екстрактор Сокслета 2 дюйма (повний комплект),Аксесуари для самогоноваріння
Sok-2,Екстрактор Сокслета 2 дюйма + трійник,Аксесуари для самогоноваріння
Sok3-1,Екстрактор Сокслета 3 дюйма,Аксесуари для самогоноваріння
Sok3-3,Екстрактор Сокслета 3 дюйма (повний комплект),Аксесуари для самогоноваріння
Sok3-2,Екстрактор Сокслета 3 дюйма + трійник,Аксесуари для самогоноваріння
33656,Електрична машинка для видалення кісточок з вишні,Дробарка для яблук
CP-2006-e22,"Електричний дистилятор для ефірної олії 20 л, колона 8,5 л (220 V)",Дистилятор для ефірних олій
CP-2008-е22,"Електричний дистилятор для ефірної олії 25 л, колона 18 л (220 V)",Дистилятор для ефірних олій
KL00571,Електромагнітний клапан нормально відкритий 220V,Автоматика для самогонного апарату
KL00569,Електромагнітний клапан нормально закритий 12 V,Автоматика для самогонного апарату
KL00570,Електромагнітний клапан нормально закритий 220 V,Автоматика для самогонного апарату
100001158,Есенція Baltmore Long Blended Whisky style 250 мл,Ароматизатори для алкоголю
S8806,Етикетка для пляшки Botanica Spirits 8 х 10 см,Спеції для настоянок
7793,Жаровня для приготування птиці Enders Switch Grid,Аксесуари для гриля
MAG1055,"Заглушка 1,5 дюйма",Аксесуари для самогоноваріння
MAG1056,Заглушка 2 дюйма,Аксесуари для самогоноваріння
MAG1056-3,Заглушка 3 дюйма,Аксесуари для самогоноваріння
MAG1056-4,Заглушка 4 дюйма,Аксесуари для самогоноваріння
MAG1056-1,Заглушка 6 дюймів,Аксесуари для самогоноваріння
MAG1056-2,Заглушка 8 дюймів,Аксесуари для самогоноваріння
