"Внешний ID","назва укр","ціна"
"22200","Подрібнювач яблук та груш для соку","57735.0000"
"4090","Ароматний хміль Strisselspalt α-2,0%, 50g","70.0000"
"","","1050.0000"
"66713","Пристрій перекачування сусла для Braumeister 50L","5460.0000"
"66712","Пристрій перекачування сусла для Braumeister 20L","4860.0000"
"414","Оренда складу ТЦ Мега Сіті","11700.0000"
"415","Услуги ответственного хранения","1.0000"
"416","Зарплата","1.0000"
"4175","Солод BEST Chit Malt","83.5000"
"418","Пивні дріжджі SafAle BE-256 (Abbaye) 500 g","1.0000"
"4199","Солод BEST Vienna (Віденський)","79.5000"
"420","Підставка під Braumeister 20 / 50 L","6750.0000"
"77367","Ємність для бродіння з конічним дном 30L","13275.0000"
"72898","Ківш для солоду","540.0000"
"423","Професійний подрібнювач для фруктів до 5000 кг/год","157500.0000"
"","Хмель TRADITION, 5kg","1400.0000"
"4250","Солод BEST Caramel Hell","87.6000"
"4267","Солод BEST Roasted Barley 0.25кг","38.5000"
"427","","1.0000"
"428","Выплата дивидентов","1.0000"
"","","30.0000"
"430","Ласты LEADERFINS КАРБОН","1.0000"
"47014","КЕГ для сидру, 50 л","16400.0000"
"47009","Щітка для КЕГ","1440.0000"
"63286","Мішок для пресу 90 л","3038.0000"
"47057-0","Редуктор СО2 регульований, Німеччина","4140.0000"
"63230","Мішок для пресу 20 л","2058.0000"
"437","Мішок для пресу 40 л","2401.0000"
"63840","Мішок для пресу 180 л","4018.0000"
"63226","Мембрана гідропресу 20 л","5074.0000"
"63272","Мембрана гідропресу 40 л","6020.0000"
"63285","Мембрана гидропресса 90 л","7800.0000"
"63831","Мембрана гидропресса 180 л","8815.0000"
"77368","Ємність для бродіння з конічним дном 65L","14760.0000"
"22620-01","Гідравлічний прес з нержавіючої сталі 20 л","42970.0000"
"22600-01","Гидравлический пресс из нержавеющей стали 40 л","51114.0000"
"22690","Прес для соку гідравлічний 90 л","60500.0000"
"22618","Гидравлический пресс 180 л","143600.0000"
"77369","Ємність для бродіння з конічним дном 120L","19740.0000"
"","","23000.0000"
"453","SEO-оптимизация","1.0000"
"4540","Дріжджі для віскі SafSpirit USW-6, 500g (American Whiskey)","2730.0000"
"455","Пивні дріжджі SAFALE WB-06, 500g","3500.0000"
"456","Курьерская доставка","1.0000"
"457","Фрахт","1.0000"
"458","Реклама Google","1.0000"
"459","VPS OneboxVPS 4G на 1год","1.0000"
"66733","Low-Oxygen кришка для Braumeister 50L","5400.0000"
"462","Банковские услуги","1.0000"
"21021","Кришка для круглих бочок 60-120 л","1575.0000"
"21015","Заглушка різьбова з прокладкою","140.0000"
"465","","73.0000"
"466","Квитки на літак, автобус, потяг","1.0000"
"467","Бронювання житла","1.0000"
"468","Этикетки самоклеящиеся (105 х 37,1 мм.) - 16 шт. на листе А4","1.0000"
"469","","1.0000"
"470","Фанера 10, 18 мм","1.0000"
"471","Уголок 40х600мм","1.0000"
"472","Брус сосновый","1.0000"
"474","Кільце силіконове 9x4x2.5mm","8.0000"
"476","Кільце ущільнювальне 20мм","20.0000"
"477","Онлайн-сервис Prom.ua для пакета «Базовый» сроком на 1 год","1.0000"
"478","Визитки","4.0000"
"77520","Підставка під ємності 60-120л","4950.0000"
"481","Пивні дріжджі DIamond Lager, 500g","1.0000"
"FD-035-S Var 0002","Ємність для ферментації конічна 30 л","33750.0000"
"75104","Нержавіючий шаровий кран 3/4"", V2A","3150.0000"
"64949","Кран відбору проб NW 10","2360.0000"
"63887","Термометр біметалічний","1890.0000"
"64071","Гільза для термометра NW 10","1590.0000"
"77457","Охолоджуючий блок 0,3 кВт","36450.0000"
"77278","Контролер температури бродіння Gärmeister","18000.0000"
"4892","Солод BEST Biscuit (Бісквіт)","104.7000"
"300634","Ареометр-пивомір ""Брікс"" побутовий ТО 14307481.02-2018","125.0000"
"202422","Ареометр для спирту АСП-3 20-80","205.0000"
"79048","Ущільнювальне кільце O-Ring 23,47x2,62","270.0000"
"45506","Набір ущільнень до крана NW 10","67.5000"
"38203","Пивні дріжджі SafAle BE-256 (Abbaye) 11.5 гр","120.0000"
"501","Техническая поддержка CRM OneBox","1.0000"
"502","Невиключна ліцензія OneBox","1.0000"
"14938580","Пластиковый складской лоток iPlast Logic Store 500х225х150 мм Синий (12.405.61)","1.0000"
"504","Пакет полипропиленовый 21,5х30см/40 мкм","1.0000"
"507","Солод VIKING PILSNER MALT","78.1000"
"01.03.07.01.03.05","Пивні дріжджі Safale Т-58 11.5гр","110.0000"
"5097","Пивні дріжджі Safale BE-134 (11 гр)","80.0000"
"510","Пивні дріжджі SafLager S-189 (11.5 гр)","180.0000"
"511","Пивні дріжджі Danstar Munich (Мюнхен), 0.5 кг","1.0000"
"512","Пивні дріжджі Danstar BRY-97, 500гр.","1.0000"
"513","Пивні дріжджі Danstar Belle Saison, 11 гр.","1.0000"
"515","Солод Pale Ale (Пейл Ель) Viking Malt","78.1000"
"516","Солод Vienna (Віденський) Viking Malt","78.8000"
"5172","Солод Munich (Мюнхенський) Viking Malt","78.8000"
"5189","Солод карамельний BEST Caramel® Pils","91.6000"
"519","Солод пшеничний Viking Wheat Malt","78.1000"
"66715","Термометр самоклеючий SPEIDEL 4-24 С","200.0000"
"66686","перехідник Gardena ½""","765.0000"
"65276","Кран нержавіючий G ¾""","1890.0000"
"5233","Хміль Spalter Select (Селект) α-3.0..6.5 %, кг","700.0000"
